Time,Hour ahead forecast,Current demand,Net demand,Net demand forecast
17:00,24995,,,19954
17:05,25568,,,25630
17:10,25568,,,25630
17:15,25568,,,25630
17:20,26196,,,25630
17:25,26196,,,25630
17:30,26196,,,25630
17:35,26568,,,25630
17:40,26568,,,25630
17:45,26568,,,25630
17:50,26813,,,25630
17:55,26813,,,25630
18:00,26813,,,25630
18:05,27067,,,26795
18:10,27067,,,26795
18:15,27067,,,26795
18:20,27350,,,26795
18:25,27350,,,26795
18:30,27350,,,26795
18:35,27324,,,26795
18:40,27324,,,26795
18:45,27324,,,26795
18:50,27184,,,26795
18:55,27184,,,26795
19:00,27184,,,26795
19:05,27042,,,26161
19:10,27042,,,26161
19:15,27042,,,26161
19:20,26902,,,26161
19:25,26902,,,26161
19:30,26902,,,26161
19:35,26710,,,26161
19:40,26710,,,26161
19:45,26710,,,26161
19:50,26493,,,26161
19:55,26493,,,26161
20:00,26493,,,26161
20:05,26277,,,25219
20:10,26277,,,25219
20:15,26277,,,25219
20:20,26061,,,25219
20:25,26061,,,25219
20:30,26061,,,25219
20:35,25809,,,25219
20:40,25809,,,25219
20:45,25809,,,25219
20:50,25550,,,25219
20:55,25550,,,25219
21:00,25550,,,25219
21:05,25287,,,24059
21:10,25287,,,24059
21:15,25287,,,24059
21:20,25024,,,24059
21:25,25024,,,24059
21:30,25024,,,24059
21:35,24664,,,24059
21:40,24664,,,24059
21:45,24664,,,24059
21:50,24274,,,24059
21:55,24274,,,24059
22:00,24274,,,24059
22:05,23885,,,22467
22:10,23885,,,22467
22:15,23885,,,22467
22:20,23494,,,22467
22:25,23494,,,22467
22:30,23494,,,22467
22:35,23122,,,22467
22:40,23122,,,22467
22:45,23122,,,22467
22:50,22849,,,22467
22:55,22849,,,22467
23:00,22849,,,22467
23:05,22579,,,21103
23:10,22579,,,21103
23:15,22579,,,21103
23:20,22234,,,21103
23:25,22234,,,21103
23:30,22234,,,21103
23:35,21961,,,21103
23:40,21961,,,21103
23:45,21961,,,21103
23:50,21718,,,21103
23:55,21718,,,21103
00:00,21718,,,21103
